Name,Ticker
3M,MMM
American Express,AXP
Apple Inc.,AAPL
Boeing,BA
Caterpillar Inc.,CAT
Chevron Corporation,CVX
Cisco Systems,CSCO
The Coca-Cola Company,KO
Dow Inc.,DOW
ExxonMobil,XOM
Goldman Sachs,GS
The Home Depot,HD
IBM,IBM
Intel,INTC
Johnson & Johnson,JNJ
JPMorgan Chase,JPM
McDonald's,MCD
Merck & Co.,MRK
Microsoft,MSFT
Nike,NKE
Pfizer,PFE
Procter & Gamble,PG
The Travelers Companies,TRV
UnitedHealth Group,UNH
United Technologies,UTX
Verizon,VZ
Visa Inc.,V
Walmart,WMT
Walgreens Boots Alliance,WBA
The Walt Disney Company,DIS