MMM,3M
AXP,American Express
AAPL,Apple Inc.
BA,Boeing
CAT,Caterpillar Inc.
CVX,Chevron Corporation
CSCO,Cisco Systems
KO,The Coca-Cola Company
DOW,Dow Inc.
XOM,ExxonMobil
GS,Goldman Sachs
HD,The Home Depot
IBM,IBM
INTC,Intel
JNJ,Johnson & Johnson
JPM,JPMorgan Chase
MCD,McDonald's
MRK,Merck & Co.
MSFT,Microsoft
NKE,Nike
PFE,Pfizer
PG,Procter & Gamble
TRV,The Travelers Companies
UNH,UnitedHealth Group
UTX,United Technologies
VZ,Verizon
V,Visa Inc.
WMT,Walmart
WBA,Walgreens Boots Alliance
DIS,The Walt Disney Company